concept                                 ,word                                                                          ,page
abilities                               ,accepting that you have particular abilities                                  ,"218–19"
accountability                          ,accountability                                                                ,"209–10"
none                                    ,action vs. motion                                                             ,"142–43"
Person                                  ,Adams Scott                                                                   ,"23, 225"
addiction                               ,effect of environment on readdiction                                          ,92
addiction                               ,smoking                                                                       ,"125–26"
addiction                               ,Vietnam War heroin problem                                                    ,"91–92"
addiction                               ,addition by subtraction strategy                                              ,154
addiction                               ,“the aggregation of marginal gains                                            ,”13–14"
addiction                               ,agricultural expansion example of doing that which requires the least effort  ,"149–51"
addiction                               ,Allen Carr’s Easy Way to Stop Smoking (Carr)                                  ,"125–26"
addiction                               ,amateurs vs. professionals                                                    ,236
animal behavior                         ,within an immediate return environment                                        ,187
animal behavior                         ,cat escape study                                                              ,4"3–44"
animal behavior                         ,greylag geese and supernormal stimuli                                         ,102
animal behavior                         ,herring gulls and supernormal stimuli                                         ,"101–102"
animal behavior                         ,methods for sensing and understanding the world                               ,84
animal behavior                         ,Art & Fear (Bayles and Orland)                                                ,142
animal behavior                         ,Asch Solomon                                                                  ,"118–20"
athletes                                ,Career Best Effort program (CBE)                                              ,"242–44"
athletes                                ,comparing champions of different sports                                       ,"217–18"
athletes                                ,examples of reflection and review                                             ,"244–45"
athletes                                ,handling the boredom of training                                              ,"233–34"
athletes                                ,Los Angeles Lakers example of reflection and review                           ,"242–44"
athletes                                ,use of motivation rituals                                                     ,"132–33"
atomic habits                           ,cumulative effect of stacking                                                 ,"251–52"
atomic habits                           ,defined                                                                       ,27
atomic habits                           ,automaticity                                                                  ,"144–46"
automating a habit                      ,cash register example                                                         ,"171–72"
automating a habit                      ,table of onetime actions that lock in good habits                             ,173
automating a habit                      ,Thomas Frank example of automating a habit contract                           ,210
automating a habit                      ,using technology                                                              ,"173–75"
awareness                               ,Habits Scorecard                                                              ,"64–66"
awareness                               ,of nonconscious habits                                                        ,62
awareness                               ,"Pointing,and,Calling subway safety system"                                   ,"62–63"
bad habits                              ,breaking (table)                                                              ,"97, 137, 179, 213"
bad habits                              ,reducing exposure to the cues that cause them                                 ,"94–95"
behavior change                         ,Cardinal Rule of Behavior Change                                              ,"186, 189"
